id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr
476,HCLTECH,Mar 2022,15.79,24.0,21.84,0.1024,67.6991,0.9632,18497.0,1597.0,50.0,11.4022,84.0,6343,16900.0
477,HCLTECH,Mar 2023,14.63,22.0,22.7,0.0733,67.949,1.088,14436.0,3573.0,55.0,12.0451,88.0,4794,18009.0
478,HCLTECH,Mar 2024,14.29,22.0,23.01,0.0844,46.4611,1.1102,15840.0,6608.0,58.0,12.5715,90.0,5758,22448.0
493,HDFCLIFE,Mar 2015,2.89,874.0,30.93,0.0,333.4684,0.3927,945.0,3514.0,4.0,0.1274,18.0,0,4459.0
494,HDFCLIFE,Mar 2016,4.5,953.0,26.33,0.0,159.1852,0.237,1725.0,3962.0,4.0,0.1555,22.0,0,5687.0
495,HDFCLIFE,Mar 2017,2.89,972.0,23.18,0.0,213.5036,0.3223,1053.0,5177.0,4.0,0.1915,25.0,0,6230.0
496,HDFCLIFE,Mar 2018,3.43,1074.0,23.53,0.0,110.5993,0.292,2318.0,4421.0,6.0,0.2338,25.0,0,6739.0
499,HDFCLIFE,Mar 2021,1.9,1235.0,15.75,0.0694,157.9685,0.3981,751.0,8952.0,7.0,0.4275,30.0,600,9703.0
503,HEROMOTOCO,Mar 2014,8.32,3553.0,37.38,0.0505,50.5488,2.497,1347.0,1616.0,105.0,14.0575,62.0,284,2963.0
504,HEROMOTOCO,Mar 2015,8.58,3520.0,36.15,0.0153,73.9415,2.5848,2217.0,31.0,118.0,16.35,51.0,100,2186.0
505,HEROMOTOCO,Mar 2016,10.94,4424.0,35.23,0.0263,57.1235,2.2067,1422.0,2300.0,157.0,22.085,46.0,232,3722.0
506,HEROMOTOCO,Mar 2017,12.39,4585.0,34.37,0.0253,28.9651,1.8685,2035.0,1972.0,179.0,25.79,47.0,261,4007.0
507,HEROMOTOCO,Mar 2018,11.47,5334.0,31.09,0.019,48.1206,1.8657,2159.0,1858.0,186.0,29.93,51.0,228,4017.0
508,HEROMOTOCO,Mar 2019,10.2,5025.0,26.42,0.0238,39.0837,1.8359,2330.0,1298.0,172.0,32.8,50.0,312,1032.0
509,HEROMOTOCO,Mar 2020,12.51,4070.0,25.4,0.0314,17.5718,1.4869,2699.0,2819.0,182.0,36.015,49.0,453,5518.0
510,HEROMOTOCO,Mar 2021,9.48,4058.0,19.05,0.0379,48.6709,1.3404,1821.0,2289.0,146.0,38.54,72.0,584,4110.0
512,HEROMOTOCO,Mar 2023,8.200000000000001,4099.0,16.81,0.0341,53.037,1.4282,2193.0,421.0,141.0,41.64,71.0,568,2614.0
513,HEROMOTOCO,Mar 2024,9.9,5235.0,21.14,0.0342,47.2685,1.4449,3095.0,1828.0,187.0,44.2475,75.0,606,4923.0
523,HINDALCO,Mar 2022,7.04,28347.0,17.56,0.8247,133.0623,0.8792,10065.0,6773.0,61.0,35.2212,6.0,64486,16838.0
526,HINDUNILVR,Mar 2013,14.22,4220.0,134.0,0.0087,20.3028,2.2332,3668.0,63.0,18.0,1.3264,104.0,25,3605.0
527,HINDUNILVR,Mar 2014,13.53,4759.0,111.85,0.013,30.923,2.1255,3343.0,475.0,18.0,1.6375,71.0,46,3818.0
528,HINDUNILVR,Mar 2015,13.69,5412.0,108.67,0.0107,21.3128,2.2157,3430.0,138.0,20.0,1.8644,74.0,43,3292.0
529,HINDUNILVR,Mar 2016,12.9,5910.0,63.14999999999999,0.0269,54.1029,2.1758,3889.0,282.0,19.0,3.0431,83.0,177,4171.0
530,HINDUNILVR,Mar 2017,13.54,6328.0,66.58,0.0411,44.3119,2.1114,4012.0,1173.0,21.0,3.1222,82.0,277,5185.0
531,HINDUNILVR,Mar 2018,14.71,7499.0,71.78999999999999,0.0,79.5099,1.99,4996.0,1063.0,24.0,3.3708,83.0,0,6059.0
532,HINDUNILVR,Mar 2019,15.42,8880.0,77.03,0.0126,94.5745,2.1102,5362.0,438.0,28.0,3.6421,78.0,99,5800.0
533,HINDUNILVR,Mar 2020,16.98,9861.0,82.1,0.0,70.6297,1.974,9414.0,1791.0,31.0,3.8097,80.0,0,7623.0
534,HINDUNILVR,Mar 2021,17.01,11626.0,16.78,0.0,208.3941,0.6841,7935.0,1228.0,34.0,20.2868,119.0,0,9163.0
535,HINDUNILVR,Mar 2022,16.95,12857.0,18.12,0.0213,180.8858,0.7439,7320.0,1728.0,38.0,20.877,90.0,1043,9048.0
536,HINDUNILVR,Mar 2023,16.74,14147.0,20.16,0.0242,103.6964,0.829,8507.0,1484.0,43.0,21.406,91.0,1219,9991.0
537,HINDUNILVR,Mar 2024,16.61,14659.0,20.07,0.029,57.847,0.7886,10145.0,5324.0,44.0,21.7949,96.0,1484,15469.0
550,ICICIGI,Mar 2013,8.799999999999999,-178.0,18.88,0.0,7.1451,0.3175,22.0,962.0,8.0,0.4279,0.0,0,984.0
552,ICICIGI,Mar 2015,13.82,-221.0,20.27,0.0,4.4869,0.2891,73.0,171.0,13.0,0.6456,15.0,0,-98.0
553,ICICIGI,Mar 2016,8.4,764.0,15.66,0.0,,0.3849,201.0,310.0,11.0,0.7225,26.0,0,511.0
555,ICICIGI,Mar 2018,12.47,-262.0,18.98,0.1068,4.5698,0.2323,494.0,1896.0,19.0,1.0002,17.0,485,2390.0
556,ICICIGI,Mar 2019,9.4,1669.0,19.43,0.0898,-4754.5,0.3342,120.0,2856.0,23.0,1.1894,26.0,485,2976.0
557,ICICIGI,Mar 2020,10.37,1772.0,19.47,0.0791,650.6667,0.3109,51.0,3382.0,26.0,1.3511,13.0,485,3433.0
558,ICICIGI,Mar 2021,12.11,2072.0,19.38,0.0638,842.25,0.3095,407.0,1367.0,32.0,1.6701,25.0,485,1774.0
560,ICICIGI,Mar 2023,9.67,1264.0,16.55,0.0034,16.7699,0.3245,605.0,1685.0,35.0,2.1271,31.0,35,2290.0
561,ICICIGI,Mar 2024,9.37,2577.0,15.72,0.0029,160.0268,0.3236,486.0,1921.0,39.0,2.4757,28.0,35,2407.0
563,ICICIPRULI,Mar 2014,7.13,1504.0,35.61,0.0,158.0698,0.2687,3630.0,6012.0,11.0,0.3067,70.0,0,-2382.0
565,ICICIPRULI,Mar 2016,7.91,1842.0,31.0,0.1933,,0.199,3661.0,27.0,12.0,0.3717,73.0,1029,3634.0
566,ICICIPRULI,Mar 2017,4.45,1806.0,26.26,0.0,277.0385,0.3032,3434.0,696.0,12.0,0.4464,63.0,0,4130.0
567,ICICIPRULI,Mar 2018,4.17,1771.0,24.63,0.0,280.8106,0.2738,301.0,5389.0,11.0,0.4578,59.0,0,5690.0
568,ICICIPRULI,Mar 2019,2.75,541.0,16.58,0.0,50.3358,0.2542,3818.0,7559.0,8.0,0.4785,40.0,0,11377.0
586,INFY,Mar 2013,23.37,29.0,24.82,0.0,2780.6,0.872,4451.0,2922.0,21.0,13.2846,25.0,0,7373.0
587,INFY,Mar 2014,21.26,27.0,23.93,0.0,1783.7778,0.8801,7262.0,2563.0,23.0,15.5699,34.0,0,9825.0
588,INFY,Mar 2015,23.2,28.0,24.39,0.0,1526.0833,0.8043,9352.0,999.0,27.0,8.8699,55.0,0,8353.0
589,INFY,Mar 2016,21.6,27.0,21.85,0.0,,0.8315,9143.0,885.0,29.0,5.3972,41.0,0,10028.0
591,INFY,Mar 2018,22.73,27.0,24.69,0.0,,0.8888,17751.0,4533.0,37.0,5.9672,59.0,0,13218.0
592,INFY,Mar 2019,18.64,24.0,23.73,0.0,,0.9835,14209.0,632.0,35.0,2.993,60.0,0,14841.0
593,INFY,Mar 2020,18.33,25.0,25.42,0.0708,147.4706,0.989,16672.0,331.0,39.0,3.0844,45.0,4633,17003.0
594,INFY,Mar 2021,19.33,28.0,25.44,0.0697,154.3077,0.9345,15851.0,7373.0,45.0,3.5947,59.0,5325,23224.0
595,INFY,Mar 2022,18.21,26.0,29.39,0.0726,168.93,1.0421,17400.0,6485.0,53.0,3.5915,59.0,5474,23885.0
596,INFY,Mar 2023,16.43,24.0,31.97,0.1101,133.2077,1.1779,21396.0,1071.0,58.0,3.6446,73.0,8299,22467.0
597,INFY,Mar 2024,17.08,24.0,29.79,0.0949,87.5234,1.1298,20117.0,5093.0,63.0,4.2548,,8359,25210.0
602,IOC,Mar 2017,5.74,10.0,19.97,0.6197,10.2872,1.2983,10532.0,17684.0,14.0,2.1544,45.0,63271,28216.0
603,IOC,Mar 2018,5.37,10.0,19.87,0.5765,11.8681,1.4246,11996.0,17119.0,15.0,1.2013,90.0,65650,29115.0
607,IOC,Mar 2022,4.37,8.0,19.27,0.9887,9.5508,1.4343,4453.0,21294.0,18.0,1.4545,46.0,132020,25747.0
609,IOC,Mar 2024,5.56,10.0,23.53,0.7231,10.2823,1.6084,39635.0,31464.0,30.0,1.3318,40.0,132628,71099.0
610,IRCTC,Mar 2015,12.37,14.0,29.5,0.0,,0.9114,23.0,46.0,13.0,2.22,20.0,0,69.0
611,IRCTC,Mar 2016,13.83,14.0,34.87,0.0,,0.9513,295.0,7.0,19.0,2.71,40.0,0,288.0
612,IRCTC,Mar 2017,15.07,21.0,29.1,0.0,127.0,0.8324,432.0,94.0,11.0,1.9675,49.0,0,338.0
613,IRCTC,Mar 2018,15.08,19.0,23.14,0.0,124.3333,0.6322,64.0,40.0,11.0,2.3875,21.0,0,24.0
614,IRCTC,Mar 2019,16.52,20.0,28.85,0.0,254.5,0.7209,146.0,353.0,4.0,0.6694,98.0,0,499.0
615,IRCTC,Mar 2020,22.66,31.0,39.04,0.0,78.0,0.6985,417.0,8.0,6.0,0.8213,39.0,0,409.0
617,IRCTC,Mar 2022,35.13,47.0,35.29,0.0561,86.0,0.4838,282.0,242.0,8.0,1.1687,42.0,105,524.0
618,IRCTC,Mar 2023,28.41,36.0,40.6,0.0339,89.0,0.6958,495.0,317.0,13.0,1.5488,44.0,84,812.0
619,IRCTC,Mar 2024,26.02,34.0,34.4,0.0186,82.7368,0.701,667.0,215.0,14.0,2.0187,47.0,60,882.0
629,ITC,Mar 2013,24.37,35.0,33.27,0.0044,111.787,0.895,3221.0,3881.0,6.0,2.9314,55.0,102,7102.0
630,ITC,Mar 2014,25.49,37.0,33.05,0.0089,484.3448,0.8643,4090.0,3254.0,7.0,3.426,54.0,242,7344.0
631,ITC,Mar 2015,25.19,37.0,30.81,0.0085,170.1209,0.8447,4568.0,5275.0,8.0,3.9571,52.0,269,9843.0
632,ITC,Mar 2016,24.24,37.0,22.26,0.002,205.3077,0.7588,5878.0,3921.0,8.0,5.3019,73.0,84,9799.0
633,ITC,Mar 2017,24.5,36.0,22.57,0.001,351.6122,0.7651,7376.0,3251.0,8.0,3.82,56.0,46,10627.0
634,ITC,Mar 2018,26.45,38.0,21.89,0.0007,163.1391,0.6763,6055.0,7114.0,9.0,4.3041,56.0,36,13169.0
635,ITC,Mar 2019,26.55,38.0,21.7,0.0002,290.3803,0.6738,7037.0,5546.0,10.0,4.8239,56.0,13,12583.0
636,ITC,Mar 2020,31.57,39.0,23.89,0.0042,268.6543,0.6388,8516.0,6174.0,12.0,5.3111,82.0,277,14690.0
637,ITC,Mar 2021,27.17,35.0,22.18,0.0045,338.6552,0.6678,18267.0,5740.0,11.0,4.9023,101.0,271,12527.0
638,ITC,Mar 2022,25.56,34.0,24.82,0.004,375.55,0.7856,13538.0,2238.0,12.0,5.0694,93.0,249,15776.0
639,ITC,Mar 2023,27.46,36.0,28.16,0.0044,356.4359,0.8263,13146.0,5732.0,15.0,5.5636,100.0,306,18878.0
640,ITC,Mar 2024,29.28,37.0,27.85,0.0041,362.9625,0.7723,18742.0,1563.0,16.0,5.9701,84.0,303,17179.0
650,JINDALSTEL,Mar 2022,13.22,30.0,18.99,0.379,7.2431,0.6676,13717.0,2331.0,56.0,35.2723,5.0,13502,16048.0
693,LICI,Mar 2021,0.43,0.0,43.2,0.0006,,0.1804,229049.0,148447.0,7.0,6.884,0.0,4,80602.0
694,LICI,Mar 2022,0.5700000000000001,0.0,36.38,0.0001,,0.1701,8748.0,12531.0,57.0,0.1793,23.0,1,-3783.0
695,LICI,Mar 2023,4.590000000000001,4.0,77.86,0.0,545.5455,0.1714,1671.0,52848.0,65.0,0.731,5.0,0,54519.0
696,LICI,Mar 2024,4.84,4.0,49.45,0.0,371.9375,0.1591,853.0,25269.0,66.0,1.3083,15.0,0,26122.0
714,LT,Mar 2021,9.5,17.0,176.9,0.1093,2.6869,12.7012,17324.0,5750.0,82.0,40.5778,44.0,798,23074.0
715,LT,Mar 2022,6.660000000000001,16.0,72.92,0.0181,2.8888,7.6084,15579.0,3585.0,62.0,47.6267,36.0,258,19164.0
716,LT,Mar 2023,6.83,15.0,75.52,0.0929,3.1823,7.8081,14729.0,8048.0,75.0,55.3067,32.0,1541,22777.0
717,LT,Mar 2024,7.03,14.0,77.66999999999999,0.1035,3.5442,8.0276,20445.0,2179.0,95.0,66.7267,36.0,2071,18266.0
718,LTIM,Mar 2013,14.59,23.0,41.97,0.1748,42.4762,1.6542,384.0,224.0,174.0,8.3688,54.0,234,608.0
719,LTIM,Mar 2014,20.24,23.0,61.86000000000001,0.0683,44.0,1.8455,808.0,180.0,309.0,10.0625,55.0,110,628.0
720,LTIM,Mar 2015,15.45,20.0,37.96,0.1076,110.4,1.6716,539.0,103.0,238.0,12.6625,63.0,218,642.0
721,LTIM,Mar 2016,14.3,18.0,39.34,0.0259,202.5,1.8636,818.0,40.0,49.0,12.5,72.0,55,858.0
722,LTIM,Mar 2017,14.94,19.0,30.88,0.0,472.3333,1.4718,209.0,961.0,57.0,18.4941,29.0,0,1170.0
723,LTIM,Mar 2018,15.22,16.0,28.81,0.0,100.8125,1.3689,392.0,452.0,65.0,22.7059,33.0,0,844.0
724,LTIM,Mar 2019,16.05,20.0,30.98,0.0,198.6364,1.4175,646.0,749.0,87.0,28.7824,32.0,0,1395.0
725,LTIM,Mar 2020,13.97,19.0,28.13,0.1688,28.4096,1.2341,1001.0,643.0,87.0,31.7882,32.0,912,1644.0
726,LTIM,Mar 2021,15.67,22.0,26.53,0.1093,37.962,1.1554,743.0,1657.0,111.0,40.5778,36.0,798,2400.0
727,LTIM,Mar 2022,15.13,20.0,27.65,0.0181,48.9024,1.2692,1608.0,1643.0,225.0,47.6267,41.0,258,3251.0
728,LTIM,Mar 2023,13.29,18.0,26.58,0.0929,44.4333,1.4132,2824.0,271.0,149.0,55.3067,40.0,1541,3095.0
729,LTIM,Mar 2024,12.91,18.0,22.9,0.1035,31.9324,1.2895,1752.0,3918.0,155.0,66.7267,42.0,2071,5670.0
744,MARUTI,Mar 2015,7.5,14.0,15.66,0.0274,35.3624,1.4735,1958.0,4491.0,126.0,16.1046,20.0,666,6449.0
745,MARUTI,Mar 2016,9.55,16.0,17.95,0.0075,127.9024,1.3479,1252.0,7230.0,182.0,20.2755,19.0,231,8482.0
746,MARUTI,Mar 2017,11.03,15.0,20.26,0.0131,144.0449,1.3103,1109.0,9173.0,249.0,24.553,30.0,484,10282.0
747,MARUTI,Mar 2018,9.87,15.0,18.52,0.0028,41.2514,1.3247,3486.0,8302.0,261.0,28.1848,31.0,121,11788.0
748,MARUTI,Mar 2019,8.89,13.0,16.25,0.0034,180.5263,1.3455,3061.0,3540.0,253.0,31.1868,32.0,160,6601.0
753,MARUTI,Mar 2024,9.51,13.0,15.75,0.0014,117.9072,1.2303,4936.0,11865.0,429.0,54.5452,29.0,119,16801.0
771,NAUKRI,Mar 2018,50.71,22.0,24.5,0.0005,124.0,0.3806,104.0,149.0,42.0,1.6762,13.0,1,253.0
772,NAUKRI,Mar 2019,51.43,1.0,23.28,0.0004,106.5714,0.3609,217.0,59.0,49.0,2.0844,12.0,1,276.0
778,NESTLEIND,Dec 2013,12.27,21.0,47.17,0.5021,55.2703,1.4414,1355.0,441.0,12.0,2.4667,42.0,1189,1796.0
779,NESTLEIND,Dec 2014,12.02,21.0,41.77,0.007,151.8571,1.6933,1212.0,432.0,12.0,2.9552,51.0,20,1644.0
780,NESTLEIND,Dec 2015,6.890000000000001,19.0,19.99,0.0064,388.0,1.3432,1028.0,70.0,6.0,2.9344,83.0,18,1098.0
781,NESTLEIND,Dec 2016,10.95,20.0,30.5,0.0101,21.8681,1.3423,1340.0,126.0,10.0,3.4188,61.0,33,1466.0
782,NESTLEIND,Dec 2017,12.24,21.0,35.82,0.0102,24.7174,1.3595,1687.0,131.0,13.0,3.5625,68.0,35,1818.0
783,NESTLEIND,Dec 2018,14.23,23.0,43.75,0.0095,25.6875,1.3961,2000.0,52.0,17.0,3.826,69.0,35,2052.0
784,NESTLEIND,Dec 2019,15.91,24.0,102.61,0.0985,24.5969,1.7244,2378.0,83.0,20.0,1.9979,168.0,189,2295.0
785,NESTLEIND,Dec 2020,15.6,24.0,103.12,0.0728,20.4146,1.6899,2133.0,321.0,22.0,2.1031,93.0,147,2454.0
786,NESTLEIND,Dec 2021,14.37,24.0,108.84,0.1367,17.0792,1.7903,316.0,1920.0,22.0,2.0271,91.0,266,2236.0
787,NESTLEIND,Dec 2022,14.15,22.0,97.23,0.1102,24.6,1.8818,2345.0,392.0,25.0,2.5615,89.0,271,2737.0
788,NESTLEIND,Dec 2023,15.68,23.0,121.96,0.1102,38.5462,2.1301,2465.0,927.0,31.0,2.5615,56.0,271,3392.0
789,NESTLEIND,Mar 2024,16.12,24.0,117.75,0.1033,41.1862,2.3182,2938.0,1237.0,41.0,3.4792,79.0,345,4175.0
818,ONGC,Mar 2017,10.33,19.0,15.01,0.4117,18.2478,0.6355,1965.0,43815.0,19.0,3.0292,40.0,80029,45780.0
820,ONGC,Mar 2019,8.05,18.0,15.64,0.4967,14.4571,0.8564,24326.0,37132.0,24.0,3.4489,29.0,107742,61458.0
823,ONGC,Mar 2022,10.03,16.0,19.0,0.4701,15.2161,0.8422,37051.0,41197.0,36.0,4.1256,29.0,121986,78248.0
825,ONGC,Mar 2024,9.66,17.0,16.94,0.4544,11.3613,0.8332,42060.0,57203.0,39.0,5.3588,31.0,153181,99263.0
838,PIDILITIND,Mar 2013,11.53,15.0,25.68,0.0672,41.5625,1.406,328.0,144.0,8.0,3.2373,31.0,111,472.0
839,PIDILITIND,Mar 2014,10.51,16.0,23.05,0.0236,44.375,1.4628,295.0,99.0,9.0,3.8275,31.0,46,394.0
840,PIDILITIND,Mar 2015,10.61,16.0,22.64,0.0256,50.6875,1.4612,116.0,436.0,10.0,4.451,29.0,58,552.0
841,PIDILITIND,Mar 2016,15.05,22.0,30.59,0.0303,96.4615,1.4435,416.0,491.0,16.0,5.1725,26.0,80,907.0
843,PIDILITIND,Mar 2018,15.89,22.0,27.03,0.035,93.375,1.1691,835.0,39.0,19.0,7.0078,32.0,125,796.0
844,PIDILITIND,Mar 2019,13.11,19.0,22.37,0.0272,57.7308,1.1988,332.0,513.0,18.0,8.1333,36.0,113,845.0
845,PIDILITIND,Mar 2020,15.38,22.0,25.18,0.0646,49.2059,1.1182,1383.0,103.0,22.0,8.7373,32.0,288,1280.0
847,PIDILITIND,Mar 2022,12.17,19.0,18.85,0.065,45.119,1.045,397.0,558.0,24.0,12.5569,42.0,416,955.0
848,PIDILITIND,Mar 2023,10.92,17.0,17.87,0.0542,42.5208,1.1232,659.0,899.0,25.0,14.1412,44.0,391,1558.0
849,PIDILITIND,Mar 2024,14.11,22.0,20.78,0.0454,54.3333,1.0254,955.0,1769.0,34.0,16.4843,47.0,382,2724.0
958,SBILIFE,Mar 2013,4.24,3.0,23.03,0.0,179.75,0.2768,903.0,227.0,6.0,0.2736,8.0,0,1130.0
960,SBILIFE,Mar 2015,3.48,3.0,20.09,0.0,244.25,0.3157,2533.0,178.0,8.0,0.4056,15.0,0,2711.0
963,SBILIFE,Mar 2018,3.38,4.0,17.62,0.0,248.0,0.2799,1485.0,8910.0,12.0,0.6528,17.0,0,10395.0
965,SBILIFE,Mar 2020,3.25,3.0,16.26,0.0,,0.2645,2313.0,16986.0,14.0,0.8743,0.0,0,19299.0
970,SHREECEM,Jun 2013,18.53,29.0,26.12,0.3351,9.057,0.8795,990.0,270.0,288.0,10.9829,7.0,1288,1260.0
971,SHREECEM,Jun 2014,13.77,24.0,16.71,0.2547,11.5814,0.7798,167.0,1234.0,226.0,13.46,10.0,1200,1401.0
973,SHREECEM,Mar 2017,15.58,29.0,17.39,0.168,22.2868,0.7697,154.0,2048.0,384.0,21.9943,36.0,1293,2202.0
977,SHREECEM,Mar 2021,17.23,30.0,15.18,0.1448,17.996,0.6303,1603.0,2651.0,646.0,42.7694,9.0,2230,4254.0
993,SIEMENS,Sep 2011,7.26,10.0,22.75,0.0,56.5385,1.1769,267.0,264.0,,5.6118,24.0,0,3.0
995,SIEMENS,Sep 2015,11.11,9.0,22.94,0.0049,64.7,0.9988,1220.0,646.0,33.0,7.207,30.0,25,574.0
996,SIEMENS,Sep 2016,26.89,9.0,42.83,0.0037,379.7273,0.9041,750.0,237.0,82.0,9.5817,41.0,25,513.0
1004,SIEMENS,Sep 2024,12.22,14.0,17.7,0.0182,67.15,0.8791,1168.0,502.0,76.0,21.6296,16.0,279,1670.0
1005,SUNPHARMA,Mar 2013,31.17,43.0,23.14,0.0173,109.1628,0.5463,982.0,2375.0,14.0,14.4135,9.0,260,3357.0
